X,Y,Z
4302981.88995361,-2434490.83874966,12379
4302981.88995361,-2433766.24097412,12243
4302054.02511597,-2444192.79342212,12027
4302054.02511597,-2443468.27717361,12420
4302054.02511597,-2442743.76092511,12555
4302054.02511597,-2442019.2446766,12590
4302054.02511597,-2441294.7284281,12719
4302054.02511597,-2440570.21217959,12846
4302054.02511597,-2439845.69593109,12870
4302054.02511597,-2439121.17968258,12787
4302054.02511597,-2438396.66343408,12702
4302054.02511597,-2437672.14718557,12634
4302054.02511597,-2436947.63093707,12604
4302054.02511597,-2436223.11468856,12578
4302054.02511597,-2435498.59844006,12512
4302054.02511597,-2434774.08219155,12476
4302054.02511597,-2434049.40011191,12455
4302054.02511597,-2433324.88386341,12389
4302054.02511597,-2432600.3676149,12111
4301126.58493042,-2497373.614993,12098
4301126.58493042,-2496649.01451358,12118
4301126.58493042,-2495924.41403415,12091
4301126.58493042,-2495199.81355473,12069
4301126.58493042,-2494475.21307531,12047
4301126.58493042,-2493750.61259589,12016
4301126.58493042,-2443027.74978438,12215
4301126.58493042,-2442303.14930496,12314
4301126.58493042,-2441578.54882554,12479
4301126.58493042,-2440853.94834612,12620
4301126.58493042,-2440129.3478667,12700
4301126.58493042,-2439404.74738728,12757
4301126.58493042,-2438680.14690786,12810
4301126.58493042,-2437955.54642844,12787
4301126.58493042,-2437230.94594902,12682
4301126.58493042,-2436506.3454696,12602
4301126.58493042,-2435781.74499018,12567
4301126.58493042,-2435057.14451076,12524
4301126.58493042,-2434332.37818092,12502
4301126.58493042,-2433607.7777015,12536
4301126.58493042,-2432883.17722208,12509
4301126.58493042,-2432158.57674266,12312
4301126.58493042,-2431433.97626324,12110
4301126.58493042,-2430709.37578382,12030
4300198.72009277,-2498388.68608512,12149
4300198.72009277,-2497664.00135154,12213
4300198.72009277,-2496939.31661797,12241
4300198.72009277,-2496214.6318844,12215
4300198.72009277,-2495489.94715083,12171
4300198.72009277,-2494765.26241726,12144
4300198.72009277,-2494040.57768369,12108
4300198.72009277,-2493315.89295011,12070
4300198.72009277,-2442587.13225158,12041
4300198.72009277,-2441862.44751801,12061
4300198.72009277,-2441137.76278444,12156
4300198.72009277,-2440413.07805087,12355
4300198.72009277,-2439688.3933173,12518
4300198.72009277,-2438963.70858373,12608
4300198.72009277,-2438239.02385015,12682
4300198.72009277,-2437514.33911658,12695
4300198.72009277,-2436789.65438301,12619
4300198.72009277,-2436064.96964944,12560
4300198.72009277,-2435340.28491587,12524
4300198.72009277,-2434615.43431259,12490
4300198.72009277,-2433890.74957902,12479
4300198.72009277,-2433166.06484545,12530
4300198.72009277,-2432441.38011188,12636
4300198.72009277,-2431716.69537831,12603
4300198.72009277,-2430992.01064473,12458
4300198.72009277,-2430267.32591116,12228
4300198.72009277,-2429542.64117759,12009
4299271.27990723,-2500128.50878982,12008
4299271.27990723,-2499403.73985599,12153
4299271.27990723,-2498678.97092215,12290
4299271.27990723,-2497954.20198831,12354
4299271.27990723,-2497229.43305447,12362
4299271.27990723,-2496504.66412064,12323
4299271.27990723,-2495779.8951868,12282
4299271.27990723,-2495055.12625296,12244
4299271.27990723,-2494330.35731913,12205
4299271.27990723,-2493605.58838529,12151
4299271.27990723,-2492880.81945145,12100
4299271.27990723,-2492156.05051762,12065
4299271.27990723,-2491431.28158378,12019
4299271.27990723,-2439971.85783649,12058
4299271.27990723,-2439247.08890266,12215
4299271.27990723,-2438522.31996882,12336
4299271.27990723,-2437797.55103498,12378
4299271.27990723,-2437072.78210115,12521
4299271.27990723,-2436348.01316731,12511
4299271.27990723,-2435623.24423347,12483
4299271.27990723,-2434898.30941066,12452
4299271.27990723,-2434173.54047682,12435
4299271.27990723,-2433448.77154299,12434
4299271.27990723,-2432724.00260915,12504
4299271.27990723,-2431999.23367531,12611
4299271.27990723,-2431274.46474148,12689
4299271.27990723,-2430549.69580764,12643
4299271.27990723,-2429824.9268738,12517
4299271.27990723,-2429100.15793996,12239
4299271.27990723,-2428375.38900613,12027
4299271.27990723,-2427650.62007229,12001
4298343.41506958,-2504768.32697279,12022
4298343.41506958,-2504043.47381547,12028
4298343.41506958,-2503318.62065815,12015
4298343.41506958,-2502593.76750083,12016
4298343.41506958,-2501868.91434351,12016
4298343.41506958,-2501144.06118619,12029
4298343.41506958,-2500419.04212061,12228
4298343.41506958,-2499694.18896329,12374
4298343.41506958,-2498969.33580597,12390
4298343.41506958,-2498244.48264865,12481
4298343.41506958,-2497519.62949133,12501
4298343.41506958,-2496794.77633401,12487
4298343.41506958,-2496069.92317669,12451
4298343.41506958,-2495345.07001937,12402
4298343.41506958,-2494620.21686205,12336
4298343.41506958,-2493895.36370473,12259
4298343.41506958,-2493170.51054741,12202
4298343.41506958,-2492445.65739009,12190
4298343.41506958,-2491720.80423277,12165
4298343.41506958,-2490995.95107545,12126
4298343.41506958,-2490271.09791813,12097
4298343.41506958,-2489546.07885256,12001
4298343.41506958,-2438805.69420712,12020
4298343.41506958,-2438080.8410498,12131
4298343.41506958,-2437355.98789248,12229
4298343.41506958,-2436631.13473516,12360
4298343.41506958,-2435906.28157784,12354
4298343.41506958,-2435181.26251226,12386
4298343.41506958,-2434456.40935494,12364
4298343.41506958,-2433731.55619762,12332
4298343.41506958,-2433006.7030403,12448
