X,Y,Z
2928905.80619812,-666316.1020660398,-9.5758
2928905.80619812,-665702.2780990601,-1.4732
2928291.841735837,-727085.5880165099,-1870.964
2928291.841735837,-726471.7640495299,-1843.7098
2928291.841735837,-725857.9400825499,-1798.0406
2928291.841735837,-725244.1161155701,-1761.2106
2928291.841735837,-724630.2219009398,-1741.3224
2928291.841735837,-724016.39793396,-1731.7466
2928291.841735837,-723402.57396698,-1714.8048
2928291.841735837,-722788.75,-1687.5506
2928291.841735837,-722174.9260330193,-1657.35
2928291.841735837,-721561.1020660393,-1623.4664
2928291.841735837,-720947.2780990594,-1593.2658
2928291.841735837,-720333.3838844292,-1565.275
2928291.841735837,-719719.5599174493,-1533.6012
2928291.841735837,-719105.7359504695,-1507.0836
2928291.841735837,-718491.9119834896,-1463.6242
2928291.841735837,-717878.0880165097,-1390.7008
2928291.841735837,-717264.2640495297,-1322.9336
2928291.841735837,-716650.4400825498,-1283.8938
2928291.841735837,-716036.61611557,-1232.3318
2928291.841735837,-715422.7219009397,-1164.5646000000002
2928291.841735837,-714808.8979339598,-1132.1542
2928291.841735837,-714195.0739669797,-1135.1006
2928291.841735837,-713581.2499999999,-1121.1052
2928291.841735837,-712967.42603302,-1077.6458
2928291.841735837,-712353.60206604,-1064.387
2928291.841735837,-711739.7780990592,-1106.3732
2928291.841735837,-711125.8838844299,-1113.7392
2928291.841735837,-710512.0599174491,-1059.2308
2928291.841735837,-709898.2359504693,-997.3564
2928291.841735837,-709284.4119834893,-918.5402
2928291.841735837,-708670.5880165093,-797.0011999999999
2928291.841735837,-708056.7640495296,-669.5694000000001
2928291.841735837,-707442.9400825497,-530.352
2928291.841735837,-706829.1161155697,-404.3934
2928291.841735837,-706215.2219009396,-316.738
2928291.841735837,-705601.3979339595,-232.7656
2928291.841735837,-704987.5739669796,-162.05200000000002
2928291.841735837,-704373.7499999998,-126.6952
2928291.841735837,-703759.9260330198,-120.0658
2928291.841735837,-703146.1020660399,-116.3828
2928291.841735837,-702532.27809906,-112.6998
2928291.841735837,-701918.3838844297,-106.80699999999999
2928291.841735837,-701304.5599174498,-103.8606
2928291.841735837,-700690.73595047,-105.33380000000001
2928291.841735837,-700076.91198349,-106.0704
2928291.841735837,-699463.0880165092,-104.5972
2928291.841735837,-698849.2640495293,-103.124
2928291.841735837,-698235.4400825494,-102.3874
2928291.841735837,-697621.6161155694,-100.9142
2928291.841735837,-697007.7219009391,-100.17760000000001
2928291.841735837,-696393.8979339593,-99.441
2928291.841735837,-695780.0739669795,-98.7044
2928291.841735837,-695166.2499999995,-97.9678
2928291.841735837,-694552.4260330197,-97.2312
2928291.841735837,-693938.6020660397,-96.49459999999999
2928291.841735837,-693324.7780990598,-95.758
2928291.841735837,-692710.8838844296,-95.758
2928291.841735837,-692097.0599174497,-95.0214
2928291.841735837,-691483.2359504697,-95.0214
2928291.841735837,-690869.4119834899,-94.2848
2928291.841735837,-690255.5880165099,-93.54820000000001
2928291.841735837,-689641.76404953,-93.54820000000001
2928291.841735837,-689027.94008255,-92.8116
2928291.841735837,-688414.1161155693,-92.075
2928291.841735837,-687800.2219009399,-91.3384
2928291.841735837,-687186.3979339601,-90.6018
2928291.841735837,-686572.5739669793,-89.8652
2928291.841735837,-685958.7499999993,-89.12859999999999
2928291.841735837,-685344.9260330193,-88.392
2928291.841735837,-684731.1020660396,-87.6554
2928291.841735837,-684117.2780990596,-86.9188
2928291.841735837,-683503.3838844295,-85.4456
2928291.841735837,-682889.5599174495,-84.709
2928291.841735837,-682275.7359504696,-82.49919999999999
2928291.841735837,-681661.9119834896,-81.02600000000001
2928291.841735837,-681048.0880165098,-78.8162
2928291.841735837,-680434.2640495298,-75.86980000000001
2928291.841735837,-679820.4400825499,-72.18679999999999
2928291.841735837,-679206.61611557,-67.7672
2928291.841735837,-678592.7219009398,-64.0842
2928291.841735837,-677978.8979339598,-61.1378
2928291.841735837,-677365.0739669799,-58.1914
2928291.841735837,-676751.25,-55.9816
2928291.841735837,-676137.4260330201,-54.5084
2928291.841735837,-675523.6020660392,-53.0352
2928291.841735837,-674909.7780990594,-50.825399999999995
2928291.841735837,-674295.8838844291,-48.6156
2928291.841735837,-673682.0599174493,-47.1424
2928291.841735837,-673068.2359504693,-45.6692
2928291.841735837,-672454.4119834895,-44.196
2928291.841735837,-671840.5880165095,-41.9862
2928291.841735837,-671226.7640495297,-39.0398
2928291.841735837,-670612.9400825498,-36.093399999999995
2928291.841735837,-669999.1161155697,-31.6738
2928291.841735837,-669385.2219009396,-27.2542
2928291.841735837,-668771.3979339596,-22.8346
2928291.841735837,-668157.5739669797,-18.415
2928291.841735837,-667543.7499999999,-14.732000000000001
2928291.841735837,-666929.9260330199,-11.049
2928291.841735837,-666316.1020660399,-8.8392
2927678.158264163,-727085.5880165107,-1811.2994
2927678.158264163,-726471.7640495307,-1791.4112
2927678.158264163,-725857.9400825505,-1762.6838
2927678.158264163,-725244.1161155708,-1727.327
2927678.158264163,-724630.2219009404,-1700.0728
2927678.158264163,-724016.3979339603,-1688.2872
2927678.158264163,-723402.5739669803,-1674.2918
2927678.158264163,-722788.7500000005,-1648.5108
2927678.158264163,-722174.9260330204,-1627.1493999999998
2927678.158264163,-721561.1020660404,-1610.2076000000002
2927678.158264163,-720947.2780990604,-1594.739
2927678.158264163,-720333.3838844302,-1571.9044000000001
2927678.158264163,-719719.5599174502,-1532.128
2927678.158264163,-719105.7359504702,-1492.3516
2927678.158264163,-718491.9119834902,-1442.9994
2927678.158264163,-717878.0880165102,-1384.808
2927678.158264163,-717264.2640495303,-1319.2505999999998
2927678.158264163,-716650.4400825503,-1243.3808
2927678.158264163,-716036.6161155703,-1173.4038
2927678.158264163,-715422.72190094,-1110.7928
2927678.158264163,-714808.8979339601,-1054.8111999999999
2927678.158264163,-714195.07396698,-1009.142
2927678.158264163,-713581.2500000001,-961.263
2927678.158264163,-712967.4260330201,-903.8081999999999
2927678.158264163,-712353.60206604,-878.0272
2927678.158264163,-711739.7780990601,-892.7592000000001
2927678.158264163,-711125.8838844299,-888.3396
2927678.158264163,-710512.0599174498,-872.871
2927678.158264163,-709898.2359504708,-883.1834
2927678.158264163,-709284.4119834908,-873.6076
2927678.158264163,-708670.5880165099,-793.3182
2927678.158264163,-708056.7640495308,-685.7746000000001
2927678.158264163,-707442.9400825509,-553.9232
2927678.158264163,-706829.1161155709,-416.179
2927678.158264163,-706215.2219009406,-313.055
2927678.158264163,-705601.3979339607,-219.5068
2927678.158264163,-704987.5739669807,-159.1056
2927678.158264163,-704373.7500000005,-134.7978
2927678.158264163,-703759.9260330205,-123.0122
2927678.158264163,-703146.1020660407,-116.3828
2927678.158264163,-702532.2780990605,-112.6998
2927678.158264163,-701918.3838844303,-109.7534
2927678.158264163,-701304.5599174504,-107.5436
2927678.158264163,-700690.7359504703,-106.80699999999999
2927678.158264163,-700076.9119834903,-106.0704
2927678.158264163,-699463.0880165104,-105.33380000000001
2927678.158264163,-698849.2640495304,-103.8606
2927678.158264163,-698235.4400825504,-103.124
2927678.158264163,-697621.6161155704,-101.65079999999999
2927678.158264163,-697007.7219009402,-100.9142
