X,Y,Z
4426361.58493042,-794749.427083115,11883
4426361.58493042,-794036.256854872,11884
4426361.58493042,-793323.168234391,11886
4426361.58493042,-792610.079613909,11888
4426361.58493042,-791896.990993428,11890
4426361.58493042,-791183.902372946,11894
4426361.58493042,-790470.813752465,11898
4426361.58493042,-789757.725131983,11903
4426361.58493042,-789044.636511502,11908
4426361.58493042,-788331.466283259,11913
4426361.58493042,-787618.377662777,11917
4426361.58493042,-786905.289042296,11921
4426361.58493042,-786192.200421814,11924
4426361.58493042,-785479.111801333,11926
4426361.58493042,-784766.023180851,11927
4426361.58493042,-784052.93456037,11930
4426361.58493042,-783339.764332126,11934
4426361.58493042,-782626.675711645,11936
4426361.58493042,-781913.587091164,11937
4426361.58493042,-781200.498470682,11939
4426361.58493042,-780487.4098502,11942
4426361.58493042,-779774.321229719,11946
4426361.58493042,-779061.232609237,11950
4426361.58493042,-778348.143988756,11955
4426361.58493042,-777634.973760513,11960
4426361.58493042,-776921.885140031,11966
4426361.58493042,-776208.79651955,11972
4426361.58493042,-775495.707899068,11978
4426361.58493042,-774782.619278587,11983
4426361.58493042,-774069.530658105,11987
4426361.58493042,-773356.442037624,11998
4425433.72009277,-844768.597953455,9460
4425433.72009277,-844055.423025328,9497
4425433.72009277,-843342.248097201,9559
4425433.72009277,-842629.073169074,9609
4425433.72009277,-841915.816623308,9636
4425433.72009277,-841202.641695181,9649
4425433.72009277,-840489.466767054,9672
4425433.72009277,-839776.291838927,9709
4425433.72009277,-839063.116910799,9750
4425433.72009277,-838349.941982672,9796
4425433.72009277,-837636.767054545,9837
4425433.72009277,-836923.510508779,9875
4425433.72009277,-836210.335580652,9918
4425433.72009277,-835497.160652525,9954
4425433.72009277,-834783.985724398,10013
4425433.72009277,-834070.810796271,10112
4425433.72009277,-833357.635868144,10204
4425433.72009277,-832644.460940017,10257
4425433.72009277,-831931.28601189,10327
4425433.72009277,-831218.029466124,10419
4425433.72009277,-830504.854537997,10463
4425433.72009277,-829791.67960987,10459
4425433.72009277,-829078.504681743,10478
4425433.72009277,-828365.329753616,10537
4425433.72009277,-827652.154825489,10555
4425433.72009277,-826938.979897361,10498
4425433.72009277,-826225.723351596,10488
4425433.72009277,-825512.548423468,10562
4425433.72009277,-824799.373495341,10646
4425433.72009277,-824086.198567214,10753
4425433.72009277,-823373.023639087,10918
4425433.72009277,-822659.84871096,11091
4425433.72009277,-821946.673782833,11280
4425433.72009277,-821233.498854706,11451
4425433.72009277,-820520.24230894,11570
4425433.72009277,-819807.067380813,11684
4425433.72009277,-819093.892452686,11780
4425433.72009277,-818380.717524559,11828
4425433.72009277,-817667.542596432,11837
4425433.72009277,-816954.367668305,11842
4425433.72009277,-816241.192740178,11847
4425433.72009277,-815527.936194412,11855
4425433.72009277,-814814.761266285,11859
4425433.72009277,-814101.586338158,11857
4425433.72009277,-813388.411410031,11856
4425433.72009277,-812675.236481903,11858
4425433.72009277,-811962.061553776,11860
4425433.72009277,-811248.886625649,11861
4425433.72009277,-810535.711697522,11863
4425433.72009277,-809822.455151756,11864
4425433.72009277,-809109.280223629,11865
4425433.72009277,-808396.105295502,11866
4425433.72009277,-807682.930367375,11867
4425433.72009277,-806969.755439248,11868
4425433.72009277,-806256.580511121,11869
4425433.72009277,-805543.405582994,11870
4425433.72009277,-804830.149037228,11870
4425433.72009277,-804116.974109101,11871
4425433.72009277,-803403.799180974,11871
4425433.72009277,-802690.624252847,11872
4425433.72009277,-801977.44932472,11873
4425433.72009277,-801264.274396593,11873
4425433.72009277,-800551.099468466,11874
4425433.72009277,-799837.924540338,11875
4425433.72009277,-799124.667994573,11876
4425433.72009277,-798411.493066446,11877
4425433.72009277,-797698.318138318,11878
4425433.72009277,-796985.143210191,11879
4425433.72009277,-796271.968282064,11880
4425433.72009277,-795558.793353937,11881
4425433.72009277,-794845.61842581,11882
4425433.72009277,-794132.361880044,11884
4425433.72009277,-793419.186951917,11885
4425433.72009277,-792706.01202379,11888
4425433.72009277,-791992.837095663,11890
4425433.72009277,-791279.662167536,11893
4425433.72009277,-790566.487239409,11897
4425433.72009277,-789853.312311282,11902
4425433.72009277,-789140.137383155,11908
4425433.72009277,-788426.880837389,11913
4425433.72009277,-787713.705909262,11917
4425433.72009277,-787000.530981135,11921
4425433.72009277,-786287.356053008,11924
4425433.72009277,-785574.181124881,11926
4425433.72009277,-784861.006196753,11928
4425433.72009277,-784147.831268626,11931
4425433.72009277,-783434.57472286,11934
4425433.72009277,-782721.399794733,11936
4425433.72009277,-782008.224866606,11938
4425433.72009277,-781295.049938479,11940
4425433.72009277,-780581.875010352,11943
4425433.72009277,-779868.700082225,11947
4425433.72009277,-779155.525154098,11951
4425433.72009277,-778442.350225971,11957
4425433.72009277,-777729.093680205,11963
4425433.72009277,-777015.918752078,11969
4425433.72009277,-776302.743823951,11975
4425433.72009277,-775589.568895824,11980
4425433.72009277,-774876.393967697,11985
4425433.72009277,-774163.21903957,11988
4424506.27990723,-844870.766266103,9541
4424506.27990723,-844157.505084913,9568
4424506.27990723,-843444.243903723,9607
4424506.27990723,-842730.982722533,9655
4424506.27990723,-842017.639913833,9692
4424506.27990723,-841304.378732643,9708
4424506.27990723,-840591.117551453,9727
4424506.27990723,-839877.856370263,9762
4424506.27990723,-839164.595189073,9791
4424506.27990723,-838451.334007883,9814
4424506.27990723,-837738.072826693,9835
4424506.27990723,-837024.730017993,9866
4424506.27990723,-836311.468836803,9920
4424506.27990723,-835598.207655613,9974
4424506.27990723,-834884.946474423,10041
4424506.27990723,-834171.685293233,10120
4424506.27990723,-833458.424112043,10209
4424506.27990723,-832745.162930853,10312
4424506.27990723,-832031.901749663,10407
4424506.27990723,-831318.558940963,10492
4424506.27990723,-830605.297759773,10568
4424506.27990723,-829892.036578583,10630
4424506.27990723,-829178.775397393,10695
4424506.27990723,-828465.514216203,10773
4424506.27990723,-827752.253035013,10808
4424506.27990723,-827038.991853823,10788
4424506.27990723,-826325.649045123,10794
4424506.27990723,-825612.387863933,10815
4424506.27990723,-824899.126682744,10801
4424506.27990723,-824185.865501554,10814
4424506.27990723,-823472.604320363,10923
4424506.27990723,-822759.343139174,11069
4424506.27990723,-822046.081957984,11248
4424506.27990723,-821332.820776794,11435
4424506.27990723,-820619.477968094,11575
4424506.27990723,-819906.216786904,11702
4424506.27990723,-819192.955605714,11784
4424506.27990723,-818479.694424524,11817
4424506.27990723,-817766.433243334,11833
4424506.27990723,-817053.172062144,11842
4424506.27990723,-816339.910880954,11847
4424506.27990723,-815626.568072254,11851
4424506.27990723,-814913.306891064,11854
4424506.27990723,-814200.045709874,11855
4424506.27990723,-813486.784528684,11856
4424506.27990723,-812773.523347494,11857
4424506.27990723,-812060.262166304,11859
4424506.27990723,-811347.000985114,11860
4424506.27990723,-810633.739803924,11862
4424506.27990723,-809920.396995224,11863
4424506.27990723,-809207.135814034,11864
4424506.27990723,-808493.874632844,11866
4424506.27990723,-807780.613451654,11867
4424506.27990723,-807067.352270464,11867
4424506.27990723,-806354.091089274,11868
4424506.27990723,-805640.829908084,11869
4424506.27990723,-804927.487099384,11869
4424506.27990723,-804214.225918194,11870
4424506.27990723,-803500.964737004,11871
4424506.27990723,-802787.703555814,11871
4424506.27990723,-802074.442374624,11872
4424506.27990723,-801361.181193434,11873
4424506.27990723,-800647.920012244,11874
4424506.27990723,-799934.658831054,11875
4424506.27990723,-799221.316022355,11875
4424506.27990723,-798508.054841165,11876
4424506.27990723,-797794.793659975,11877
4424506.27990723,-797081.532478785,11879
4424506.27990723,-796368.271297595,11880
4424506.27990723,-795655.010116405,11880
4424506.27990723,-794941.748935215,11882
4424506.27990723,-794228.406126515,11883
4424506.27990723,-793515.144945325,11885
4424506.27990723,-792801.883764135,11887
4424506.27990723,-792088.622582945,11890
4424506.27990723,-791375.361401755,11893
4424506.27990723,-790662.100220565,11897
4424506.27990723,-789948.839039375,11901
4424506.27990723,-789235.577858185,11907
4424506.27990723,-788522.235049485,11912
4424506.27990723,-787808.973868295,11916
4424506.27990723,-787095.712687105,11920
4424506.27990723,-786382.451505915,11924
4424506.27990723,-785669.190324725,11926
4424506.27990723,-784955.929143535,11928
4424506.27990723,-784242.667962345,11931
4424506.27990723,-783529.325153645,11934
4424506.27990723,-782816.063972455,11937
4424506.27990723,-782102.802791265,11939
4424506.27990723,-781389.541610075,11941
4424506.27990723,-780676.280428885,11945
4424506.27990723,-779963.019247695,11949
4424506.27990723,-779249.758066505,11954
4424506.27990723,-778536.496885315,11960
4424506.27990723,-777823.154076615,11966
4424506.27990723,-777109.892895425,11972
4424506.27990723,-776396.631714235,11977
4424506.27990723,-775683.370533045,11982
4424506.27990723,-774970.109351855,11986
4424506.27990723,-774256.848170665,11993
4423578.41506958,-844972.963483183,9608
4423578.41506958,-844259.616024528,9640
4423578.41506958,-843546.268565873,9681
